,Unnamed: 0,file,gender,congruent,exact_file,pixels,VGG19_ALL_3_fine_tuned_v2,mean_predictions,parse,congruent2,sym,condition
0,0,004_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\004_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.48935607,0.48935607,004_03_,no,yes,
1,1,004_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\004_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.47398463,0.47398463,004_03_,yes,yes,
2,2,008_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\008_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.47525367,0.47525367,008_03_,no,yes,
3,3,008_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\008_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.46912685,0.46912685,008_03_,yes,yes,
4,4,012_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\012_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5563287,0.5563287,012_03_,no,yes,
5,5,012_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\012_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5195564,0.5195564,012_03_,yes,yes,
6,6,017_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\017_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.52768564,0.52768564,017_03_,no,yes,
7,7,017_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\017_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5054817,0.5054817,017_03_,yes,yes,
8,8,018_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\018_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.50353944,0.50353944,018_03_,no,yes,
9,9,018_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\018_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.48356888,0.48356888,018_03_,yes,yes,
10,10,021_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\021_03_feminized.jpg,[254. 254. 254. ... 253. 253. 253.],0.47529784,0.47529784,021_03_,no,yes,
11,11,021_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\021_03_masc.jpg,[254. 254. 254. ... 253. 253. 253.],0.4789991,0.4789991,021_03_,yes,yes,
12,12,022_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\022_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.47863302,0.47863302,022_03_,no,yes,
13,13,022_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\022_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.48990956,0.48990956,022_03_,yes,yes,
14,14,024_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\024_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.46050826,0.46050826,024_03_,no,yes,
